CustomerID,Age,Gender,TenureYears,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,SeniorCitizen,SupportCalls,StreamingService,PaperlessBilling,Churn
CUST00001,56.0,Female,0,20.41,131.92,One year,DSL,Bank transfer,No,3,No,Yes,Yes
CUST00002,69.0,Male,9,21.1,2394.45,Two year,DSL,Credit card,Yes,1,Yes,No,No
CUST00003,46.0,Female,3,61.66,2755.45,Two year,DSL,Bank transfer,No,3,Yes,No,No
CUST00004,32.0,Male,8,35.5,3796.58,Month-to-month,No,Credit card,No,2,No,No,No
CUST00005,60.0,Male,9,86.45,10188.8,Two year,Fiber optic,Electronic check,Yes,3,No,Yes,Yes
CUST00006,25.0,Male,5,90.88,5818.04,Two year,DSL,Mailed check,No,0,No,No,No
CUST00007,38.0,Female,5,37.79,2670.55,Month-to-month,DSL,Mailed check,No,1,Yes,Yes,No
CUST00008,56.0,Male,0,108.85,1106.71,Two year,No,Electronic check,No,4,Yes,No,Yes
CUST00009,36.0,Male,9,64.19,7652.76,One year,DSL,Mailed check,No,3,Yes,No,No
CUST00010,40.0,Male,1,34.28,618.59,One year,Fiber optic,Electronic check,No,3,Yes,Yes,No
CUST00011,28.0,female,10,96.43,12483.28,Month-to-month,Fiber optic,Electronic check,No,1,No,No,No
CUST00012,28.0,Male,5,99.0,6683.32,One year,Fiber optic,Electronic check,No,1,Yes,No,No
CUST00013,41.0,Male,1,83.93,1377.76,Month-to-month,DSL,Credit card,No,2,No,No,No
CUST00014,53.0,Male,2,105.35,3786.15,Two year,No,Mailed check,No,2,Yes,Yes,No
CUST00015,57.0,Female,3,93.74,3507.88,Two year,Fiber optic,Credit card,No,7,No,No,No
CUST00016,41.0,Male,10,108.22,13287.79,One year,DSL,Bank transfer,No,1,Yes,Yes,No
CUST00017,20.0,Male,4,63.39,3728.47,Month-to-month,DSL,Electronic check,No,2,No,Yes,No
CUST00018,39.0,Female,8,94.76,9254.85,One year,DSL,Mailed check,No,3,Yes,Yes,Yes
CUST00019,19.0,Female,3,119.98,5609.67,Month-to-month,DSL,Bank transfer,No,4,No,Yes,Yes
CUST00020,41.0,Female,10,92.49,11918.95,One year,No,Electronic check,No,2,Yes,Yes,No
CUST00021,61.0,Male,8,31.42,3060.42,One year,DSL,Bank transfer,Yes,1,No,No,Yes
CUST00022,47.0,Male,10,71.83,9030.65,Month-to-month,No,Credit card,No,2,Yes,No,No
CUST00023,55.0,Male,9,78.73,9234.96,Month-to-month,Fiber optic,Credit card,No,0,Yes,No,No
CUST00024,19.0,Male,2,37.42,1175.52,One year,DSL,Mailed check,No,2,No,Yes,No
CUST00025,38.0,Female,7,116.29,11081.81,Month-to-month,DSL,Bank transfer,No,1,No,No,No
CUST00026,50.0,Male,0,37.56,396.04,Month to month,Fiber optic,Bank transfer,No,4,Yes,No,No
CUST00027,29.0,Female,10,37.76,4707.13,Month-to-month,Fiber optic,Credit card,No,1,Yes,No,No
CUST00028,39.0,Male,8,111.52,10921.25,Month-to-month,No,Credit card,No,2,Yes,Yes,No
CUST00029,61.0,Male,8,66.52,7143.37,One year,Fiber optic,Mailed check,Yes,2,Yes,No,No
CUST00030,42.0,Male,9,26.32,3018.64,One year,Fiber optic,Electronic check,No,3,Yes,No,Yes
CUST00031,66.0,Female,1,79.82,1102.98,One year,DSL,Mailed check,Yes,2,Yes,Yes,No
CUST00032,44.0,Female,3,80.18,3686.86,One year,No,Credit card,No,3,Yes,No,No
CUST00033,59.0,Female,7,26.45,2500.94,Month-to-month,No,Mailed check,No,1,No,No,Yes
CUST00034,45.0,Female,6,,9383.95,One year,Fiber optic,Electronic check,No,0,No,Yes,No
CUST00035,33.0,Male,0,74.4,440.64,Month-to-month,DSL,Credit card,No,1,No,Yes,Yes
