CustomerID,Gender,TenureMonths,Contract,PaymentMethod,MonthlyCharges,TotalCharges,TechSupport,InternetService,SeniorCitizen,Churn
TEL-1000,Male,36,Month-to-month,Bank transfer,89.9,500.0,No,Fiber optic,0,No
TEL-1001,Female,24,Month-to-month,Bank transfer,89.9,4500.0,No,DSL,0,No
TEL-1002,Male,6,Month-to-month,Bank transfer,29.85,1200.0,No internet,No,1,No
TEL-1003,Male,48,Month-to-month,Bank transfer,89.9,100.5,No,Fiber optic,0,Yes
TEL-1004,Male,36,Month-to-month,Credit card,56.95,100.5,No internet,DSL,0,No
TEL-1005,Female,1,Month-to-month,Bank transfer,105.0,100.5,Yes,No,0,No
TEL-1006,Male,60,One year,Electronic check,105.0,500.0,No,Fiber optic,0,Yes
TEL-1007,Male,48,Month-to-month,Bank transfer,29.85,500.0,No internet,DSL,0,No
TEL-1008,Male,60,One year,Credit card,89.9,1200.0,Yes,Fiber optic,0,No
TEL-1009,Female,36,One year,Bank transfer,29.85,100.5,No,DSL,0,No
TEL-1010,Male,24,Two year,Electronic check,56.95,100.5,Yes,No,0,Yes
TEL-1011,Male,12,One year,Credit card,29.85,500.0,No,No,1,No
TEL-1012,Male,60,Two year,Credit card,56.95,1200.0,No,No,0,No
TEL-1013,Male,60,Month-to-month,Electronic check,56.95,100.5,No,Fiber optic,0,No
TEL-1014,Female,1,Month-to-month,Electronic check,89.9,1200.0,Yes,Fiber optic,0,No
TEL-1015,Male,1,Month-to-month,Electronic check,56.95,100.5,Yes,Fiber optic,1,Yes
TEL-1016,Female,12,One year,Electronic check,89.9,4500.0,Yes,DSL,0,No
TEL-1017,Female,48,Two year,Electronic check,56.95,4500.0,No,Fiber optic,0,No
TEL-1018,Female,-1,Month-to-month,Credit card,29.85,100.5,No,Fiber optic,0,No
TEL-1019,Male,1,Two year,Credit card,89.9,100.5,No internet,DSL,0,Yes
TEL-1020,Female,24,Month-to-month,Bank transfer,29.85,500.0,No,Fiber optic,0,No
TEL-1021,Male,12,Two year,Bank transfer,56.95,100.5,No,No,1,Yes
TEL-1022,Female,-5,Month-to-month,Mailed check,89.9,1200.0,No internet,No,1,Yes
TEL-1023,Female,48,Month-to-month,Bank transfer,56.95,4500.0,No,DSL,0,No
TEL-1024,Female,48,Month-to-month,Bank transfer,29.85,1200.0,No internet,DSL,0,No
TEL-1025,Female,12,Month-to-month,Electronic check,56.95,4500.0,No,DSL,0,No
TEL-1026,Female,12,Month-to-month,Electronic check,105.0,500.0,Yes,No,0,Yes
TEL-1027,Female,6,Month-to-month,Bank transfer,89.9,100.5,Yes,DSL,1,No
TEL-1028,Female,1,Two year,Mailed check,89.9,1200.0,No,Fiber optic,0,No
TEL-1029,Female,60,Month-to-month,Electronic check,89.9,500.0,Yes,DSL,0,Yes
TEL-1030,Male,48,Month-to-month,Bank transfer,29.85,1200.0,No,Fiber optic,0,No
TEL-1031,Male,-1,One year,Bank transfer,56.95,100.5,No,DSL,0,No
TEL-1032,Female,-1,One year,Credit card,89.9,100.5,No,Fiber optic,0,No
TEL-1033,Female,24,Month-to-month,Mailed check,29.85,,No,DSL,0,No
TEL-1034,Female,48,Month-to-month,Credit card,29.85,100.5,Yes,Fiber optic,0,Yes
TEL-1035,Male,60,Month-to-month,Mailed check,29.85,,No,DSL,1,No
TEL-1036,Female,48,Month-to-month,Electronic check,56.95,,No,Fiber optic,0,No
TEL-1037,Male,6,One year,Mailed check, ,1200.0,No internet,No,0,Yes
TEL-1038,Male,12,Month-to-month,Bank transfer,29.85,1200.0,No,DSL,0,No
TEL-1039,Male,1,Month-to-month,Bank transfer,56.95,500.0,No internet,No,0,Yes
TEL-1040,Male,-5,One year,Mailed check,29.85,4500.0,No,Fiber optic,0,Yes
TEL-1041,Male,24,Month-to-month,Mailed check,ErrorVal,100.5,No,DSL,0,No
TEL-1042,Female,6,One year,Mailed check,29.85,500.0,Yes,Fiber optic,0,No
TEL-1043,Female,36,Month-to-month,Credit card,56.95,1200.0,No,DSL,0,No
TEL-1044,Female,24,Two year,Mailed check,89.9,500.0,No,Fiber optic,1,No
TEL-1045,Female,12,Month-to-month,Electronic check,89.9,500.0,No,Fiber optic,0,No
